Id_prov,Province,Total,Area,Density
11,Aceh,5459900,57956,94
12,Sumatera Utara,14703500,72981,201
13,Sumatera Barat,5498800,42012,131
14,Riau,7128300,87023,82
15,Jambi,3677900,50058,73
16,Sumatera Selatan,8567900,91592,94
17,Bengkulu,2019800,19919,101
18,Lampung,8521200,34623,246
19,Kepulauan Bangka Belitung,1517600,16424,92
21,Kepulauan Riau,2242200,8201,273
31,DKI Jakarta,10645000,664,16032
32,Jawa Barat,49935700,35377,1412
36,Banten,13160500,9662,1362
33,Jawa Tengah,34940100,40800,856
34,DI Yogyakarta,3882300,3133,1239
35,Jawa Timur,39886300,47799,834
51,Bali,4380800,5780,758
52,Nusa Tenggara Barat,5125600,18572,276
53,Nusa Tenggara Timur,5541400,48718,114
61,Kalimantan Barat,5134800,147307,35
62,Kalimantan Tengah,2769200,153564,18
63,Kalimantan Selatan,4304000,38744,111
64,Kalimantan Timur,4561700,139462,33
71,Sulawesi Utara,2528800,46717,54
72,Sulawesi Tengah,3097000,61841,50
73,Sulawesi Selatan,8928000,46717,191
74,Sulawesi Tenggara,2755600,38067,72
75,Gorontalo,1219600,11257,108
76,Sulawesi Barat,1405000,16787,84
81,Maluku,1831900,46914,39
82,Maluku Utara,1278800,31982,40
91,Papua Barat,981800,97024,10
94,Papua,3435400,319036,11